generator_1  | {'source': 'SvR2ploDVh8i', 'target': '0QABhxQBD4bu', 'amount': 957.27, 'currency': 'USD'}
generator_1  | {'source': 'okGg5e2s5KQq', 'target': 'jeGptTbOwgfD', 'amount': 186.07, 'currency': 'USD'}
generator_1  | {'source': 'vIOjQs5MrGHe', 'target': '0VtBkgrWpGFC', 'amount': 345.23, 'currency': 'USD'}
generator_1  | {'source': 'aPvYOr2OrnKv', 'target': 'JXPUCGSkzlKn', 'amount': 217.35, 'currency': 'USD'}
generator_1  | {'source': 'MVvPLznl8oIp', 'target': 'f43Rwlw191zp', 'amount': 244.17, 'currency': 'USD'}
generator_1  | {'source': 'mh5s1qRVBULa', 'target': 'hp5PF6BfjeXa', 'amount': 694.79, 'currency': 'USD'}
generator_1  | {'source': 'O4s66ccsJEia', 'target': '7HSpHbduPtAL', 'amount': 882.07, 'currency': 'USD'}
generator_1  | {'source': 'QDzWitJ5L8O8', 'target': 'gGui14vhoz1d', 'amount': 131.15, 'currency': 'USD'}
generator_1  | {'source': 'BbWXHVWCO0Cu', 'target': 'xwmJBkRZiR3k', 'amount': 81.69, 'currency': 'USD'}
generator_1  | {'source': 'yDe0b7e0b6df', 'target': 'vLNq64pbvCel', 'amount': 807.6, 'currency': 'USD'}
generator_1  | {'source': 'RPnuTTXSNhJU', 'target': 'q0nGYw5YkzEy', 'amount': 343.34, 'currency': 'USD'}
generator_1  | {'source': 'SjVwZWLmthdf', 'target': 'LGkqQYjkmkNF', 'amount': 41.01, 'currency': 'USD'}
generator_1  | {'source': '421HnCll9bNy', 'target': 'kvpc8fleGnQh', 'amount': 621.58, 'currency': 'USD'}
generator_1  | {'source': 'hOidJW8s2rx9', 'target': 'Ao9UPZhcyIkx', 'amount': 973.0, 'currency': 'USD'}
generator_1  | {'source': 'dT9Gd3lJmQxM', 'target': '2BlxRKUbgpi6', 'amount': 741.14, 'currency': 'USD'}
